Problem,alpha,coupling_coeff,p
pm1s_100.9,1.1987063533691706 ± 0.6265715411116589,-0.7351748354700582 ± 0.23998631106314236,1.3753253409072637 ± 0.5982805965399289
G6,1.0655782677133974 ± 0.6194712397259603,-0.8877867445850154 ± 0.16404997412684358,1.1041482393938387 ± 0.2148809928891383
pm1s_100.5,1.2788660572780743 ± 0.42040215901555245,-0.7048897325294404 ± 0.32432860386721746,1.6401600367201123 ± 0.5226700891495576
w05_100.9,0.9631948814598872 ± 0.6321625711707175,-0.5071549100367543 ± 0.16241791894450838,2.04299462932973 ± 0.4543269968498313
G30,1.1045154282017042 ± 0.67962585036628,-0.8428086935065786 ± 0.23304036262204772,1.2159485635123852 ± 0.3597272068147763
G57,1.1346919490901584 ± 0.7330684039912468,-0.8711938442781816 ± 0.1802080818921515,1.053801529720952 ± 0.12252796161727286
w01_100.5,0.981427784555599 ± 0.5036872345778239,-0.7901116262812637 ± 0.28736536202532376,1.3700427077380595 ± 0.3783320871847798
pm1s_80.4,1.1653060718997361 ± 0.6463556728180453,-0.8315804792069822 ± 0.27926805005696564,1.6337141656566714 ± 0.6338592025338045
G9,1.4501872091363803 ± 0.8375626638188935,-0.9430556756245542 ± 0.10427190507807528,1.6185449675578267 ± 0.8032294860045825
pm1s_80.7,1.0168715822428651 ± 0.6234700244025212,-0.8236035997173127 ± 0.17419332042962807,1.644934163971718 ± 0.6786386365426014
G59,1.143197133370529 ± 0.584890027273493,-0.7604371907314701 ± 0.14651210412389934,1.3511146439774315 ± 0.37993823651486036
w09_100.0,0.8009777372224811 ± 0.5601923838930064,-0.30455872735246664 ± 0.14366714928214863,2.014858126223889 ± 0.7996822179685913
w05_100.2,0.9713005950908559 ± 0.6473579368874444,-0.4031265647423667 ± 0.24516328291592718,1.8667046110831034 ± 0.6218688730800576
w09_100.3,0.7262125048106444 ± 0.482791167987272,-0.3280177146804404 ± 0.18257787257932484,2.201708275148589 ± 0.6581835115271817
w01_100.8,1.0200871412256252 ± 0.5528973470291323,-0.8580581019102834 ± 0.3000313909093825,1.952800708675034 ± 0.7137099941750801
G27,1.0884065096943154 ± 0.5873331333803822,-0.90701764428546 ± 0.17171311556265245,1.192462332029288 ± 0.3221336166065251
