Trial,Cut at T=100,Simulation Time (s),T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1965.0,0.6995449066162109,2.02,2.02,3.03,100,1,1,1,0
2,1987.0,0.7905402183532715,2.02,2.02,3.03,35.35,1,1,1,1
3,2005.0,0.7912123203277588,2.02,2.02,4.04,10.100000000000001,1,1,1,1
4,1933.0,0.7909903526306152,2.02,2.02,3.03,100,1,1,1,0
5,1974.0,0.792224645614624,2.02,3.03,5.050000000000001,25.25,1,1,1,1
6,1960.0,0.7900846004486084,2.02,2.02,4.04,100,1,1,1,0
7,1985.0,0.7914412021636963,3.03,5.050000000000001,8.08,30.299999999999997,1,1,1,1
8,1975.0,0.7936921119689941,2.02,2.02,2.02,6.06,1,1,1,1
9,1983.0,0.7912812232971191,2.02,4.04,5.050000000000001,31.31,1,1,1,1
10,1982.0,0.7912015914916992,3.03,5.050000000000001,6.06,14.14,1,1,1,1
11,2004.0,0.7908041477203369,2.02,2.02,3.03,11.11,1,1,1,1
12,1997.0,0.7899537086486816,3.03,5.050000000000001,7.07,18.18,1,1,1,1
13,1944.0,0.79128098487854,2.02,3.03,4.04,100,1,1,1,0
14,1973.0,0.7925524711608887,2.02,4.04,6.06,19.19,1,1,1,1
15,1959.0,0.7922499179840088,2.02,2.02,3.03,100,1,1,1,0
16,1999.0,0.7896924018859863,2.02,4.04,4.04,7.07,1,1,1,1
17,1920.0,0.7895994186401367,2.02,3.03,4.04,100,1,1,1,0
18,2026.0,0.7874054908752441,2.02,2.02,2.02,6.06,1,1,1,1
19,1940.0,0.7884676456451416,2.02,3.03,4.04,100,1,1,1,0
20,1966.0,0.7888796329498291,3.03,3.03,5.050000000000001,100,1,1,1,0
21,1986.0,0.7882187366485596,2.02,3.03,4.04,11.11,1,1,1,1
22,1998.0,0.7873854637145996,2.02,3.03,7.07,12.12,1,1,1,1
23,1964.0,0.7848911285400391,2.02,3.03,4.04,100,1,1,1,0
24,1986.0,0.789414644241333,1.01,2.02,2.02,14.14,1,1,1,1
25,1971.0,0.7889032363891602,2.02,2.02,4.04,100,1,1,1,0
26,1971.0,0.792158842086792,3.03,4.04,6.06,29.29,1,1,1,1
27,2007.0,0.7910881042480469,2.02,3.03,11.11,27.270000000000003,1,1,1,1
28,1973.0,0.79152512550354,1.01,2.02,3.03,24.24,1,1,1,1
29,1967.0,0.7915523052215576,2.02,3.03,5.050000000000001,100,1,1,1,0
30,1999.0,0.7896058559417725,2.02,3.03,5.050000000000001,19.19,1,1,1,1
31,1965.0,0.7913250923156738,2.02,3.03,6.06,100,1,1,1,0
32,1961.0,0.7923393249511719,1.01,2.02,2.02,100,1,1,1,0
33,1988.0,0.7918658256530762,2.02,2.02,3.03,6.06,1,1,1,1
34,1939.0,0.7920470237731934,1.01,2.02,3.03,100,1,1,1,0
35,1975.0,0.7926328182220459,2.02,2.02,3.03,17.17,1,1,1,1
36,1972.0,0.7913708686828613,2.02,3.03,5.050000000000001,45.45,1,1,1,1
37,2003.0,0.7920701503753662,2.02,2.02,3.03,19.19,1,1,1,1
38,1998.0,0.7916550636291504,1.01,2.02,3.03,6.06,1,1,1,1
39,2000.0,0.7910377979278564,1.01,2.02,3.03,16.16,1,1,1,1
40,1998.0,0.79099440574646,1.01,2.02,3.03,10.100000000000001,1,1,1,1
41,1994.0,0.7919163703918457,2.02,5.050000000000001,7.07,13.13,1,1,1,1
42,1973.0,0.7927887439727783,2.02,4.04,5.050000000000001,14.14,1,1,1,1
43,2000.0,0.789801836013794,2.02,2.02,3.03,18.18,1,1,1,1
44,1960.0,0.7924144268035889,2.02,3.03,4.04,100,1,1,1,0
45,2000.0,0.7920413017272949,1.01,2.02,3.03,8.08,1,1,1,1
46,1948.0,0.7917749881744385,2.02,3.03,4.04,100,1,1,1,0
47,1975.0,0.7907326221466064,1.01,2.02,4.04,16.16,1,1,1,1
48,2001.0,0.7916233539581299,1.01,2.02,3.03,7.07,1,1,1,1
49,1930.0,0.7922627925872803,2.02,3.03,6.06,100,1,1,1,0
50,1921.0,0.7924840450286865,2.02,3.03,4.04,100,1,1,1,0
51,1925.0,0.7922050952911377,2.02,4.04,7.07,100,1,1,1,0
52,1948.0,0.7915337085723877,3.03,4.04,6.06,100,1,1,1,0
53,1945.0,0.7936739921569824,1.01,2.02,3.03,100,1,1,1,0
54,1932.0,0.7921791076660156,2.02,2.02,5.050000000000001,100,1,1,1,0
55,1968.0,0.7925167083740234,2.02,2.02,3.03,100,1,1,1,0
56,1953.0,0.7913899421691895,2.02,2.02,3.03,100,1,1,1,0
57,1969.0,0.7896819114685059,2.02,2.02,3.03,100,1,1,1,0
58,1952.0,0.7926790714263916,1.01,2.02,2.02,100,1,1,1,0
59,1934.0,0.7921040058135986,2.02,2.02,4.04,100,1,1,1,0
60,2011.0,0.7905423641204834,2.02,3.03,6.06,17.17,1,1,1,1
61,2004.0,0.791107177734375,2.02,3.03,4.04,15.149999999999999,1,1,1,1
62,1940.0,0.7913837432861328,2.02,2.02,3.03,100,1,1,1,0
63,1968.0,0.7919826507568359,2.02,2.02,4.04,100,1,1,1,0
64,1992.0,0.7926392555236816,2.02,2.02,3.03,19.19,1,1,1,1
65,2012.0,0.7918157577514648,2.02,2.02,3.03,9.09,1,1,1,1
66,2000.0,0.7930476665496826,2.02,3.03,4.04,10.100000000000001,1,1,1,1
67,1966.0,0.7919468879699707,2.02,2.02,4.04,100,1,1,1,0
68,1996.0,0.7926328182220459,2.02,2.02,2.02,6.06,1,1,1,1
69,1968.0,0.7905941009521484,2.02,3.03,5.050000000000001,100,1,1,1,0
70,2010.0,0.7921009063720703,2.02,3.03,3.03,14.14,1,1,1,1
71,1961.0,0.7921488285064697,2.02,3.03,3.03,100,1,1,1,0
72,1921.0,0.7938492298126221,2.02,3.03,5.050000000000001,100,1,1,1,0
73,2008.0,0.7931971549987793,2.02,2.02,2.02,4.04,1,1,1,1
74,1940.0,0.7910323143005371,2.02,4.04,7.07,100,1,1,1,0
75,1988.0,0.7936007976531982,2.02,2.02,2.02,15.149999999999999,1,1,1,1
76,1977.0,0.7923927307128906,2.02,3.03,5.050000000000001,26.26,1,1,1,1
77,1957.0,0.7900304794311523,1.01,2.02,3.03,100,1,1,1,0
78,1956.0,0.7907924652099609,2.02,3.03,4.04,100,1,1,1,0
79,1983.0,0.7914292812347412,1.01,2.02,3.03,17.17,1,1,1,1
80,1960.0,0.7921962738037109,2.02,3.03,4.04,100,1,1,1,0
81,1965.0,0.7895197868347168,2.02,2.02,3.03,100,1,1,1,0
82,2000.0,0.7905867099761963,2.02,3.03,6.06,13.13,1,1,1,1
83,2018.0,0.7908666133880615,2.02,3.03,4.04,8.08,1,1,1,1
84,1972.0,0.791968822479248,2.02,2.02,3.03,18.18,1,1,1,1
85,1957.0,0.7937617301940918,2.02,4.04,6.06,100,1,1,1,0
86,1960.0,0.7918548583984375,2.02,3.03,4.04,100,1,1,1,0
87,1995.0,0.7928924560546875,2.02,2.02,2.02,9.09,1,1,1,1
88,1957.0,0.7932734489440918,2.02,2.02,4.04,100,1,1,1,0
89,1957.0,0.7935593128204346,1.01,2.02,2.02,100,1,1,1,0
90,1968.0,0.7915434837341309,1.01,2.02,2.02,100,1,1,1,0
91,1964.0,0.7937688827514648,2.02,3.03,9.09,100,1,1,1,0
92,2006.0,0.7929956912994385,2.02,2.02,2.02,7.07,1,1,1,1
93,1990.0,0.794644832611084,1.01,2.02,4.04,14.14,1,1,1,1
94,1975.0,0.797356367111206,2.02,2.02,4.04,21.21,1,1,1,1
95,2008.0,0.7973084449768066,2.02,3.03,5.050000000000001,10.100000000000001,1,1,1,1
96,1924.0,0.7970395088195801,2.02,4.04,6.06,100,1,1,1,0
97,1971.0,0.7972466945648193,2.02,2.02,3.03,100,1,1,1,0
98,2000.0,0.7983839511871338,3.03,7.07,13.13,40.400000000000006,1,1,1,1
99,1980.0,0.8003547191619873,2.02,4.04,7.07,20.200000000000003,1,1,1,1
100,1950.0,0.800429105758667,2.02,2.02,5.050000000000001,100,1,1,1,0
